Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-July-2020,119.60,120.50,114.05,118.00,117.205128205128205128,2769,63,324541.00,2054,74.18,6.45,-1.60
22-July-2020,115.05,115.05,113.45,114.30,114.149390243902439024,328,31,37441.00,200,60.98,1.60,-0.75
21-July-2020,114.35,116.80,113.70,114.00,114.676392572944297082,754,38,86466.00,501,66.45,3.10,-0.35
20-July-2020,111.00,117.00,111.00,117.00,112.003861003861003861,2590,47,290090.00,2265,87.45,6.00,6.00
17-July-2020,116.35,116.45,116.00,116.45,116.226890756302521008,119,13,13831.00,103,86.55,0.45,0.10
16-July-2020,114.30,115.40,114.10,115.40,114.311475409836065573,61,7,6973.00,60,98.36,1.30,1.10
15-July-2020,117.00,119.60,115.25,115.70,116.560954063604240282,1132,49,131947.00,274,24.20,4.35,-1.30
14-July-2020,119.95,121.05,117.35,118.30,118.469489414694894146,803,142,95131.00,791,98.51,3.70,-1.65
13-July-2020,122.30,122.30,120.00,120.85,121.057692307692307692,208,31,25180.00,151,72.60,2.30,-1.45
10-July-2020,125.00,125.00,117.90,122.60,123.157718120805369127,4470,160,550515.00,1302,29.13,7.10,-2.40
9-July-2020,124.85,124.85,117.60,119.20,119.648205128205128205,975,63,116657.00,681,69.85,7.25,-5.65
8-July-2020,116.80,120.05,116.80,118.00,118.421398891966759002,2888,86,342001.00,2417,83.69,3.25,1.20
7-July-2020,113.20,116.00,111.85,114.10,114.082725060827250608,411,36,46888.00,345,83.94,4.15,0.90
6-July-2020,117.00,117.00,111.30,114.60,114.127055306427503736,669,34,76351.00,574,85.80,5.70,-2.40
3-July-2020,113.05,113.80,112.25,113.75,112.720000000000000000,400,4,45088.00,300,75.00,1.55,0.70
2-July-2020,116.15,116.15,114.55,114.55,115.470588235294117647,17,2,1963.00,17,100.00,1.60,-1.60
1-July-2020,106.50,114.30,106.10,114.15,110.136904761904761904,168,15,18503.00,123,73.21,8.20,7.65
30-June-2020,112.25,116.60,112.25,116.60,115.139230769230769230,1300,129,149681.00,1051,80.85,4.35,4.35
29-June-2020,113.00,114.95,112.50,113.55,113.081232492997198879,357,40,40370.00,254,71.15,2.45,0.55
26-June-2020,116.00,116.00,114.00,114.00,114.733584499461786867,3716,32,426350.00,3597,96.80,2.00,-2.00
25-June-2020,114.25,116.00,114.00,115.40,114.768831168831168831,385,16,44186.00,235,61.04,2.00,1.15
24-June-2020,119.00,121.00,115.10,115.10,120.838421052631578947,1900,22,229593.00,1900,100.00,5.90,-3.90
23-June-2020,123.70,124.20,119.35,120.60,121.181844974948423224,16965,212,2055850.00,16716,98.53,4.85,-3.10
22-June-2020,111.70,123.70,111.70,122.05,121.531612223393045310,1898,69,230667.00,1534,80.82,12.00,10.35
19-June-2020,120.10,122.00,116.95,119.00,119.766618497109826589,1384,95,165757.00,427,30.85,5.05,-1.10
18-June-2020,115.80,119.25,115.60,116.70,117.315644383184011026,2902,35,340450.00,393,13.54,3.65,0.90
17-June-2020,118.40,119.45,115.00,117.40,115.412748643761301989,4424,64,510586.00,3846,86.93,4.45,-1.00
16-June-2020,121.00,122.00,113.70,116.55,117.012978986402966625,1618,111,189327.00,1469,90.79,8.30,-4.45
15-June-2020,119.00,120.65,115.25,119.00,118.302788844621513944,251,26,29694.00,188,74.90,5.40,0.00
12-June-2020,112.00,119.00,112.00,119.00,118.623015873015873015,1512,22,179358.00,1475,97.55,7.00,7.00
11-June-2020,117.55,123.00,113.00,113.20,115.073271413828689370,3876,75,446024.00,3300,85.14,10.00,-4.35
10-June-2020,118.45,118.45,116.40,116.40,116.984375000000000000,64,7,7487.00,63,98.44,2.05,-2.05
9-June-2020,115.45,118.00,115.45,116.10,117.562790697674418604,1290,19,151656.00,1270,98.45,2.55,0.65
8-June-2020,119.75,119.75,113.10,114.00,117.822737175678352148,5049,223,594887.00,4794,94.95,6.65,-5.75
5-June-2020,111.00,112.90,109.55,111.90,112.417293233082706766,798,27,89709.00,730,91.48,3.35,0.90
4-June-2020,109.50,110.00,109.50,109.50,109.500000000000000000,34,11,3723.00,33,97.06,0.50,0.00
3-June-2020,110.70,110.70,109.25,109.25,109.443877551020408163,1372,84,150157.00,1362,99.27,1.45,-1.45
2-June-2020,110.40,111.05,110.00,110.35,110.043478260869565217,828,10,91116.00,788,95.17,1.05,-0.05
1-June-2020,116.70,116.75,114.00,114.10,116.034435885817852288,2207,129,256088.00,2096,94.97,2.75,-2.60
29-May-2020,109.50,115.00,105.40,111.20,111.237160815575655373,6523,43,725600.00,5241,80.35,9.60,1.70
28-May-2020,108.70,110.45,106.05,109.80,106.775510204081632653,245,12,26160.00,200,81.63,4.40,1.10
26-May-2020,111.00,112.00,108.05,111.00,109.629283489096573208,321,10,35191.00,321,100.00,3.95,0.00
22-May-2020,108.65,118.60,108.65,113.50,111.354413702239789196,759,6,84518.00,759,100.00,9.95,4.85
21-May-2020,111.00,113.20,111.00,113.20,112.332061068702290076,262,12,29431.00,262,100.00,2.20,2.20
20-May-2020,106.00,108.00,106.00,107.85,107.206896551724137931,87,5,9327.00,87,100.00,2.00,1.85
19-May-2020,104.00,107.30,103.50,107.20,104.616236162361623616,813,13,85053.00,813,100.00,3.80,3.20
18-May-2020,101.05,107.65,101.05,102.20,106.416091954022988505,1740,16,185164.00,1740,100.00,6.60,1.15
15-May-2020,105.20,107.50,102.55,102.55,106.664739884393063583,346,10,36906.00,346,100.00,4.95,-2.65
14-May-2020,101.90,102.40,101.90,102.40,102.259154929577464788,355,6,36302.00,355,100.00,0.50,0.50
13-May-2020,97.75,100.95,97.55,97.55,99.907284768211920529,151,6,15086.00,151,100.00,3.40,-0.20
12-May-2020,95.75,96.15,95.75,96.15,95.786206896551724137,145,6,13889.00,145,100.00,0.40,0.40
11-May-2020,100.00,102.20,95.05,100.70,101.324561403508771929,114,12,11551.00,114,100.00,7.15,0.70
8-May-2020,100.00,100.00,100.00,100.00,100.000000000000000000,20,1,2000.00,20,100.00,0.00,0.00
7-May-2020,99.05,103.25,97.75,100.55,99.456286427976686094,1201,12,119447.00,1201,100.00,5.50,1.50
6-May-2020,100.20,100.20,100.20,100.20,100.199152542372881355,236,9,23647.00,236,100.00,0.00,0.00
5-May-2020,106.00,110.60,105.45,105.45,107.161659513590844062,699,18,74906.00,699,100.00,5.15,-0.55
4-May-2020,113.95,114.00,105.00,110.95,109.838846308995562726,4958,69,544581.00,4958,100.00,9.00,-3.00
30-April-2020,105.00,108.90,103.05,108.90,103.726415094339622641,106,5,10995.00,106,100.00,5.85,3.90
29-April-2020,98.25,107.00,98.25,106.95,106.556603773584905660,106,7,11295.00,106,100.00,8.75,8.70
28-April-2020,101.55,107.95,101.55,103.00,102.020454545454545454,440,9,44889.00,440,100.00,6.40,1.45
27-April-2020,102.55,106.20,102.55,106.20,105.683333333333333333,180,4,19023.00,180,100.00,3.65,3.65
24-April-2020,106.00,106.00,102.05,102.15,103.157894736842105263,38,3,3920.00,38,100.00,3.95,-3.85
23-April-2020,109.00,109.00,106.00,106.00,106.714285714285714285,7,3,747.00,7,100.00,3.00,-3.00
22-April-2020,100.05,105.00,100.00,105.00,103.778846153846153846,624,7,64758.00,624,100.00,5.00,4.95
21-April-2020,103.00,103.00,102.75,103.00,102.941538461538461538,650,9,66912.00,650,100.00,0.25,0.00
20-April-2020,111.00,111.00,103.60,105.00,104.533928571428571428,1120,11,117078.00,1120,100.00,7.40,-6.00
17-April-2020,105.65,108.95,105.50,108.45,106.441666666666666666,120,10,12773.00,120,100.00,3.45,2.80
16-April-2020,109.25,110.00,109.05,110.00,109.191428571428571428,350,3,38217.00,350,100.00,0.95,0.75
15-April-2020,118.90,118.90,110.00,110.00,111.487550200803212851,1245,10,138802.00,1245,100.00,8.90,-8.90
13-April-2020,110.00,113.55,110.00,113.55,111.502702702702702702,185,6,20628.00,185,100.00,3.55,3.55
9-April-2020,106.00,108.15,105.95,108.15,107.329761904761904761,1680,22,180314.00,1680,100.00,2.20,2.15
8-April-2020,99.95,103.80,99.95,103.00,102.429917550058892815,1698,12,173926.00,1698,100.00,3.85,3.05
7-April-2020,99.70,99.95,99.00,99.85,99.854714064914992272,647,11,64606.00,647,100.00,0.95,0.15
3-April-2020,96.00,96.00,96.00,96.00,96.000000000000000000,944,3,90624.00,944,100.00,0.00,0.00
1-April-2020,96.30,96.30,92.00,92.00,94.181818181818181818,924,9,87024.00,924,100.00,4.30,-4.30
31-March-2020,92.25,92.25,92.05,92.05,92.040000000000000000,50,2,4602.00,50,100.00,0.20,-0.20
30-March-2020,98.20,98.20,90.00,94.95,93.575562700964630225,311,6,29102.00,311,100.00,8.20,-3.25
27-March-2020,95.00,99.00,93.10,93.55,94.150442477876106194,565,8,53195.00,565,100.00,5.90,-1.45
26-March-2020,96.00,100.50,96.00,98.00,98.555813953488372093,430,5,42379.00,430,100.00,4.50,2.00
25-March-2020,96.90,96.90,96.90,96.90,96.886792452830188679,53,3,5135.00,53,100.00,0.00,0.00
20-March-2020,102.00,102.00,98.05,102.00,98.473214285714285714,112,4,11029.00,112,100.00,3.95,0.00
19-March-2020,98.00,102.95,97.00,102.95,99.045243128964059196,2365,8,234242.00,2365,100.00,5.95,4.95
18-March-2020,100.20,106.90,98.00,102.00,99.846583253128007699,5195,15,518703.00,5195,100.00,8.90,1.80
17-March-2020,103.10,103.10,103.10,103.10,103.100000000000000000,100,1,10310.00,100,100.00,0.00,0.00
13-March-2020,109.00,118.95,108.30,108.50,108.676012461059190031,963,26,104655.00,963,100.00,10.65,-0.50
12-March-2020,116.00,116.00,114.00,114.00,115.000000000000000000,2,2,230.00,2,100.00,2.00,-2.00
11-March-2020,119.00,123.00,118.00,119.00,118.293185419968304278,631,7,74643.00,631,100.00,5.00,0.00
9-March-2020,123.05,123.10,121.85,122.00,122.113046844754161827,2583,12,315418.00,2583,100.00,1.25,-1.05
6-March-2020,128.50,128.50,128.25,128.25,128.270029673590504451,1348,16,172908.00,1348,100.00,0.25,-0.25
5-March-2020,137.50,137.50,130.05,134.95,133.111913357400722021,1939,12,258104.00,1939,100.00,7.45,-2.55
4-March-2020,138.00,138.00,131.00,136.50,135.350230414746543778,651,6,88113.00,651,100.00,7.00,-1.50
3-March-2020,130.00,139.90,125.10,134.90,127.864545279753893482,10402,29,1330047.00,8220,79.02,14.80,4.90
2-March-2020,138.00,138.00,134.20,134.20,137.581439393939393939,528,24,72643.00,528,100.00,3.80,-3.80
28-February-2020,134.35,141.80,132.25,137.00,135.853118712273641851,994,62,135038.00,804,80.89,9.55,2.65
27-February-2020,136.30,137.05,136.30,137.05,136.301470588235294117,136,4,18537.00,136,100.00,0.75,0.75
25-February-2020,140.55,142.45,140.50,142.00,141.399217221135029354,511,32,72255.00,312,61.06,1.95,1.45
24-February-2020,145.15,146.00,141.30,142.30,142.555370524562864279,1201,100,171209.00,1100,91.59,4.70,-2.85
20-February-2020,149.00,151.00,146.00,147.00,147.743157894736842105,1900,71,280712.00,1080,56.84,5.00,-2.00
19-February-2020,149.00,150.25,147.10,147.75,148.964218455743879472,531,55,79100.00,366,68.93,3.15,-1.25
18-February-2020,143.50,150.00,142.50,148.35,145.470373270686504829,3831,184,557297.00,1379,36.00,7.50,4.85
17-February-2020,144.10,148.50,144.10,145.00,146.651860077734591893,3602,101,528240.00,2881,79.98,4.40,0.90
14-February-2020,143.00,145.70,142.25,142.55,144.765978562921794362,5038,298,729331.00,3890,77.21,3.45,-0.45
13-February-2020,138.00,143.75,138.00,142.00,141.555766793409378960,1578,114,223375.00,1243,78.77,5.75,4.00
12-February-2020,132.40,138.00,132.25,137.50,135.344014153725181836,5087,119,688495.00,1422,27.95,5.75,5.10
11-February-2020,136.80,136.80,133.00,133.05,135.155287817938420348,747,200,100961.00,746,99.87,3.80,-3.75
10-February-2020,137.15,137.15,135.10,137.00,136.738888888888888888,540,16,73839.00,540,100.00,2.05,-0.15
7-February-2020,130.00,138.60,130.00,135.65,136.538461538461538461,4836,162,660300.00,2551,52.75,8.60,5.65
6-February-2020,133.95,133.95,129.20,130.00,131.718627633787059481,5363,114,706407.00,1925,35.89,4.75,-3.95
5-February-2020,131.55,132.55,129.25,130.35,130.485307212822796081,1123,29,146535.00,943,83.97,3.30,-1.20
4-February-2020,124.15,131.95,124.15,129.80,128.172056921086675291,1546,51,198154.00,1491,96.44,7.80,5.65
3-February-2020,125.95,125.95,123.30,124.00,123.881502890173410404,346,8,42863.00,294,84.97,2.65,-1.95
1-February-2020,124.30,136.60,123.25,126.75,131.349963316214233308,21808,564,2864480.00,3935,18.04,13.35,2.45
31-January-2020,126.55,126.55,122.75,124.20,124.729851909586905689,6415,63,800142.00,5413,84.38,3.80,-2.35
30-January-2020,126.80,129.95,125.00,127.40,127.520525451559934318,1827,28,232980.00,1356,74.22,4.95,0.60
29-January-2020,134.00,134.40,126.80,127.45,130.064577039274924471,18536,480,2410877.00,10097,54.47,7.60,-6.55
28-January-2020,123.90,129.50,117.15,129.50,128.824462482186009046,48417,1657,6237294.00,37657,77.78,12.35,5.60
27-January-2020,117.10,118.80,116.50,117.75,116.905191873589164785,886,37,103578.00,779,87.92,2.30,0.65
24-January-2020,118.45,118.80,115.00,118.75,117.543859649122807017,513,15,60300.00,312,60.82,3.80,0.30
23-January-2020,118.25,120.00,118.25,119.60,119.072727272727272727,385,61,45843.00,261,67.79,1.75,1.35
22-January-2020,118.30,120.50,118.00,119.05,119.491666666666666666,240,6,28678.00,240,100.00,2.50,0.75
21-January-2020,118.00,120.50,118.00,118.95,118.735294117647058823,1190,23,141295.00,969,81.43,2.50,0.95
20-January-2020,122.00,122.00,118.70,120.95,120.194125159642401021,783,8,94112.00,483,61.69,3.30,-1.05
17-January-2020,122.90,122.90,118.50,118.65,120.272943980929678188,839,44,100909.00,538,64.12,4.40,-4.25
16-January-2020,122.00,123.00,121.00,121.00,122.308176100628930817,318,77,38894.00,315,99.06,2.00,-1.00
15-January-2020,120.80,121.40,118.15,119.65,119.741496598639455782,294,50,35204.00,287,97.62,3.25,-1.15
14-January-2020,121.50,122.70,118.10,120.15,121.147994467496542185,723,163,87590.00,517,71.51,4.60,-1.35
13-January-2020,121.80,123.90,120.65,122.05,121.465665236051502145,466,13,56603.00,250,53.65,3.25,0.25
10-January-2020,120.90,122.90,119.05,119.15,120.645080946450809464,803,112,96878.00,579,72.10,3.85,-1.75
